runtime,solution cost,initial solution cost,min f value,root g value,iterations,group size,runtime of initial solution,area under curve,preprocessing runtime,solver name,instance name
2.04466,-1,-1,1073743158,1073743158,1,-1,2.04466,4.79532e+07,0.0399961,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials1width100.agents
2.00004,52,52,52,52,22251,3,0.000114082,0,0.000155869,LNS(EECBS;PP),lns_agents_fileNamespaceagents3height20memory_limit16obs_density0.1timeout2trials1width20.agents
2.00001,52,52,52,52,21726,3,0.000160971,0,0.000268783,LNS(EECBS;PP),lns_agents_fileNamespaceagents3height20memory_limit16obs_density0.1timeout2trials1width20.agents
0.00406943,52,52,52,52,34,3,0.000164193,0,0.000271083,LNS(EECBS;PP),lns_agents_fileNamespaceagents3height20memory_limit16obs_density0.1timeout2trials1width20.agents
2.0001,52,52,52,52,22193,3,0.000105898,0,0.000167727,LNS(EECBS;PP),lns_agents_fileNamespaceagents3height20memory_limit16obs_density0.1timeout2trials1width20.agents
2.00001,52,52,52,52,22848,3,0.000137282,0,0.000150208,LNS(EECBS;PP),lns_agents_fileNamespaceagents3height20memory_limit16obs_density0.1timeout2trials1width20.agents
2.00024,1413,1413,1413,1413,682,5,0.00228523,0,0.0273165,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00035,1413,1413,1413,1413,687,5,0.00230679,0,0.0276841,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00031,1413,1413,1413,1413,682,5,0.00231537,0,0.0268202,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00043,1218,1218,1218,1218,702,5,0.00203846,0,0.0269049,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00031,1316,1316,1316,1316,711,5,0.00215934,0,0.0265949,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00013,1186,1186,1186,1186,714,5,0.00191341,0,0.0267351,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
3.07596,-1,-1,1073743154,1073743154,1,-1,3.07596,1.15531e+09,0.026268,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00015,1413,1413,1413,1413,687,5,0.00228092,0,0.0268263,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00002,1218,1218,1218,1218,704,5,0.00197821,0,0.0263917,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00008,1316,1316,1316,1316,711,5,0.00213405,0,0.0267041,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00025,1186,1186,1186,1186,710,5,0.00196466,0,0.0261088,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
3.07896,-1,-1,1073743154,1073743154,1,-1,3.07896,1.15853e+09,0.0269612,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.00009,1413,1413,1413,1413,682,5,0.00244147,0,0.0271902,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials1width100.agents
2.00034,1413,1413,1413,1413,694,5,0.00453731,0,0.0270116,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.48031,-1,-1,1218,1218,1,-1,2.48031,585.497,0.0308977,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials10width100.agents
2.03752,-1,-1,1073743185,1073743185,1,-1,2.03752,4.02832e+07,0.0238786,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.02848,-1,-1,1073743185,1073743185,1,-1,2.02848,3.05838e+07,0.0239375,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00001,-1,-1,1073741865,1073741865,1,-1,2.00001,8448,7.5849e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2.00004,-1,-1,1073741851,1073741851,1,-1,2.00004,39424,6.8492e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,50,51,50,50,1786,4.99832,0.00015834,0.000201696,9.5169e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2.00002,-1,-1,1073741851,1073741851,1,-1,2.00002,19200,8.1868e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2.00001,-1,-1,1073741852,1073741852,1,-1,2.00001,15872,5.8871e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,-1,-1,1073741844,1073741844,1,-1,2,2304,6.8566e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,49,52,47,47,55125,4.30486,0.000308744,4.00027,9.3295e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,30,32,29,29,57895,4.2992,0.000135466,2.00036,6.2523e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,50,50,50,50,1783,5,0.000121221,0,6.0987e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,34,34,34,34,1792,5,0.000200231,0,6.448e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,30,32,30,30,1805,5,0.000102515,0.000136248,8.313e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
